_id,Year,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Total,El NiNo (Y/N),La Nina (Y/N)
74,1974,0,0,0,27.9,156.7,23,138.1,81.2,394.5,116.3,13,0,950.7,N,Y
75,1975,0,9.8,0.4,1.1,74.5,99,246.3,140.2,161.9,181.8,133.3,10.7,1059,N,N
76,1976,0,0,0,110,59,20.7,70.9,181.7,86.6,67.1,159.6,1.8,757.4,N,Y
77,1977,0,1.1,40.6,94.1,144.4,118.7,87.7,103.3,90.5,234.5,88.9,0,1003.8,N,N
78,1978,0,26.9,1.4,40.8,93.8,46.6,120.9,96.1,210.1,84.9,82.7,25.7,829.9,Y,N
79,1979,0,53.9,0.8,27,77.8,197.5,74.3,64.3,466.5,161.8,105.4,0,1229.3,N,N
80,1980,0,0,10.9,7.2,151.7,41.8,112.7,114.5,213,78,51.6,0,781.4,Y,N
81,1981,1.5,0,101.2,9.6,119.4,16.9,154.1,123.8,204,86.6,16.9,21.7,855.7,N,N
82,1982,0,0,1.1,16.1,100.2,144.1,46.9,81,206.5,139.4,23.9,1.2,760.4,N,N
83,1983,0,0,0,0,106.5,218.4,64.2,178.5,275.8,53.7,2.9,69.8,969.8,Y,N
84,1984,0.7,33.4,91.7,42.7,60.2,25.3,142.8,45,243.6,144.5,10.7,10.9,851.5,N,N
85,1985,2.8,0,20.7,10,73.6,75.4,72.9,67.8,139.8,70.9,97.1,3,634,N,N
86,1986,18.6,16.4,0,8.4,85.4,131.7,65.3,97.5,516.6,102.6,87.9,14.7,1145.1,N,N
87,1987,0,0,25.3,57.6,84.2,84.2,53.7,157.8,102.7,144.4,35.1,53.6,798.6,Y,N
88,1988,0,0,29.2,71.4,108.9,25.7,243.8,242,424.6,10,35.4,30,1221,Y,N
89,1989,0,0,2,6.2,88.9,47.9,208.9,67,235.5,238.6,6.6,3.5,905.1,N,Y
90,1990,1.2,0,3.4,32.2,146.9,57.2,36.6,109,98.6,91,26.2,10.8,613.1,N,N
91,1991,0.3,0,0,43.3,194.4,209.4,72.5,119.4,227.7,303,180.5,0,1350.5,N,N
92,1992,0,0,0,7.6,91,178.1,93.8,104.6,154.8,159.8,36.2,0.4,826.3,Y,N
93,1993,0,0,29.5,38.8,100.9,140.3,92.9,127.6,263.5,165.5,27.3,82.7,1069,N,N
94,1994,0,0.2,0,11,78.5,38.7,107.5,58.6,80.6,180.6,25.6,5.9,587.2,N,N
95,1995,18.5,0,16.5,33.8,147.7,95.6,107.2,229.3,251.6,155.1,13.1,0,1068.4,Y,N
96,1996,0,0,0,90.8,117.6,228,51,302.9,275.8,83.8,1.2,21.8,1172.9,N,N
97,1997,5.4,0,26.7,65.2,77,78.8,25.6,161.7,277,328.5,164.4,19.5,1229.8,N,N
98,1998,0,0,0.1,95,110.3,60.7,257.7,387.1,235.3,215.4,49.6,20.6,1431.8,Y,N
99,1999,0,15.7,0,74.9,200.6,75.7,114.4,94.7,164.2,192.4,64.8,16.6,1014,N,Y
100,2000,0,57.7,0,76.2,56.6,91.8,115.9,276.7,208.8,286.2,8.9,15.1,1193.9,N,Y
101,2001,0.6,0,2.2,323.8,60.2,27.4,112.1,85.1,248.6,155.9,35,7.6,1058.5,N,N
102,2002,0,0.7,0,8.8,183.5,180.9,36.8,45.5,94.8,173.9,38,9.1,772,N,N
103,2003,0,1.8,3.3,84.1,1.3,86,96.2,139.2,44.1,192.7,27.4,2.6,678.7,Y,N
104,2004,5.4,1.2,5.5,47.5,205.3,75.7,210.4,65.2,186.9,197.3,25.7,0,1026.1,N,N
105,2005,1.6,4.4,13.4,75.1,115.7,127.9,136.4,194,173.5,446,56.5,6.3,1350.8,N,N
106,2006,0.3,0,62.7,25.2,133.9,190.5,53.6,44.2,31.5,48.9,48,0.3,639.1,N,N
107,2007,0,0.2,0,104.9,79.5,57.2,154,146.5,223.7,163,21.1,34.5,984.6,Y,N
108,2008,0.1,9.9,115.4,30.4,87.1,59.2,182.5,247.4,105.6,210.9,47.6,0.3,1096.4,N,N
109,2009,0.1,0,15.2,63.9,123.8,125.4,30.2,162.2,335.3,35.2,66.8,17.5,975.6,N,N
110,2010,5.4,0,17.4,97.5,123.9,67.3,112.3,121.1,149.9,95.8,166.8,2.7,960.1,Y,N
111,2011,0,44.1,0.2,210.3,150.5,57.7,92.8,278.2,111.1,170,49.9,7.2,1172,N,Y
112,2012,0.4,0,0.7,14,143.6,7.2,66.7,189.1,68.4,83.2,125,26.9,725.2,N,Y
113,2013,0,2.9,0.6,23,151,177.1,139.7,94.3,352.6,100.2,143.7,0.3,1185.4,N,N
114,2014,0,0.2,4.7,22.7,74.6,172,100.9,102.4,319,343.8,25.7,1,1167,N,N
115,2015,9,0,37.7,225.8,178.4,85.3,94.1,110,189.8,47,296.4,5.1,1278.6,N,N
116,2016,4.4,0,19.9,21.9,140.6,191.3,209.4,82.8,33.2,11.5,1.5,74.9,791.4,Y,N
117,2017,0.2,0,47.8,30.4,241.9,25.1,59,351.8,513.8,385.7,20.6,19.7,1696,N,N
118,2018,0,1.8,47.6,34.1,140.4,29.5,94.2,70.9,106.9,63.3,12.8,16.2,617.7,N,N
119,2019,0.8,58,0,41.2,136.7,58.4,93.9,142.8,211.4,196.3,8,12.6,960.1,N,N
120,2020,0,0,18.4,121.1,128.6,114.8,158.3,75.9,300,204.3,71,20.4,1212.8,N,N
121,2021,21.2,10.3,0,118.2,130.7,91.1,203.3,98.3,188.5,366.3,277.8,5.4,1511.1,N,Y
122,2022,3.9,0,0,61.4,270.2,255.5,136.7,378.7,353,296.5,59.8,74.7,1957.7,N,Y
123,2023,0,0,8.4,28.2,305.5,72.3,141.5,12.6,248.4,96,106.6,0.7,1020.2,Y,N
